text,author_id,id,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
RT @SamuelLJackson: Revelations Of Will Smith Call With Oscar Bosses Outrages Board &amp; More #SmartNews  https://t.co/0CEj5wGcyw,1502107370494775296,1516627522649309185,2022-04-20T03:59:13.000Z,87,0,0,0
Will Smith slaps Chris Rock at the Oscars https://t.co/chhAaDL70B,1500680361071849472,1516607858472853510,2022-04-20T02:41:05.000Z,0,0,0,0
"Will Packer Claims Chris Rock Said Will Could Leave, Rock Sources Say That's a Lie https://t.co/fH262ILC0h via @TMZ",2891220923,1516600219714170883,2022-04-20T02:10:44.000Z,0,0,0,0
"Will Smith’s Post-Slap Oscars Acceptance Speech Spiked Audience by 600,000 Viewers https://t.co/SojB2atNF6",1002293322512297984,1516598789372448769,2022-04-20T02:05:03.000Z,0,0,0,0
Will Smith SLAPS Chris Rock at Oscars 2022 - South Park Animated https://t.co/i7i9iIdR9U via @YouTube the greatest-night in Television history,1029320749356527616,1516596937138470914,2022-04-20T01:57:41.000Z,0,0,0,0
RT @extratv: Jada Pinkett Smith is back at the red table in the wake of the Oscars altercation between Will Smith and Chris Rock. https://t…,2497930419,1516592608407076875,2022-04-20T01:40:29.000Z,1,0,0,0
Jada Pinkett Smith is back at the red table in the wake of the Oscars altercation between Will Smith and Chris Rock. https://t.co/AOIUpohRHJ,15676578,1516589969766330370,2022-04-20T01:30:00.000Z,1,0,1,0
"RT @LightfootInHwd: After Will Smith assaulted Chris Rock, procedures were so shaken that they didn't present Liza in a directors chair, th…",3297714729,1516550541186318342,2022-04-19T22:53:19.000Z,2,0,0,0
"RT @usweekly: Weeks later, celebs are *still* reacting to the #OSCARS slap. https://t.co/rXuRipVpEX",1512374511663935489,1516546086768316418,2022-04-19T22:35:37.000Z,1,0,0,0
"Weeks later, celebs are *still* reacting to the #OSCARS slap. https://t.co/rXuRipVpEX",20012204,1516545930840915970,2022-04-19T22:35:00.000Z,1,1,5,0
"RT @LightfootInHwd: After Will Smith assaulted Chris Rock, procedures were so shaken that they didn't present Liza in a directors chair, th…",742121887493296128,1516542967472955397,2022-04-19T22:23:14.000Z,2,0,0,0
'Saturday Night Live' takes on Will Smith's Oscars slap https://t.co/uQIfz5djsK #BreakingNews #news #Twitter #Ukraine️ #UkraineRussiaWar #Trump #Biden,2707584582,1516533860237910017,2022-04-19T21:47:02.000Z,0,0,0,0
"After Will Smith assaulted Chris Rock, procedures were so shaken that they didn't present Liza in a directors chair, they forced her out in the wheelchair.💔

Liza Minnelli was ‘sabotaged’ at Oscars 2022, longtime pal claims

https://t.co/wBd3zywZHa",399129934,1516531745935573000,2022-04-19T21:38:38.000Z,2,3,5,0
"RT @LaLigaenDirecto: 1⃣5⃣ Que alguien pare esto, POR FAVOR. #LaProfecía

Óscars 1977: Sylvester Stallone y Muhammad Ali tienen una 'pelea'…",996829562,1516528482725072911,2022-04-19T21:25:40.000Z,63,0,0,0
"""There’s too much reliance on written statements and not enough acknowledgment that multiple apologies are missing from all parties.""

#hollywoodnews #variety #theimagecartel

https://t.co/JPV64kl3M9",95596412,1516522050244034584,2022-04-19T21:00:07.000Z,0,0,0,0
“Will Smith Has Been Bullying Chris Rock All His Life”: Actor Who Made Bold Claim on Dwyane Wade’s Wife Comments on Oscars Slapgate https://t.co/bRdeTyJR76,1419666560109719555,1516514733939216385,2022-04-19T20:31:02.000Z,0,0,0,0
Zayn Malik’s Favorite Fighter Calls Out Former Interim UFC Champion With Chris Rock and Will Smith’s Oscars Slap Reference https://t.co/u6PkP3yszs,1419666560109719555,1516514732525694988,2022-04-19T20:31:02.000Z,0,0,0,0
RT @crypto_wires: Will Smith Slaps Chris Rock At The Oscars 2022! Animated https://t.co/3b6aYve9ms via @YouTube #funny #willsmithchrisrock…,1478642682851467266,1516514345068474372,2022-04-19T20:29:29.000Z,2,0,0,0
RT @crypto_wires: Will Smith Slaps Chris Rock At The Oscars 2022! Animated https://t.co/3b6aYve9ms via @YouTube #funny #willsmithchrisrock…,724282982652059648,1516514296544563201,2022-04-19T20:29:18.000Z,2,0,0,0
Will Smith Slaps Chris Rock At The Oscars 2022! Animated https://t.co/3b6aYve9ms via @YouTube #funny #willsmithchrisrock #mentalhealth,827770400,1516514214021578757,2022-04-19T20:28:58.000Z,2,0,4,0
Telling my kids this was will smith and Chris rock at the 2022 Oscars https://t.co/kqFwJtuopR,1514797963373031431,1516512818299908099,2022-04-19T20:23:25.000Z,0,0,1,0
@Jomed13 @julianaoxenford https://t.co/gvfjsZwkUf,542814151,1516496713552478219,2022-04-19T19:19:26.000Z,0,0,2,0
"About Will Smith and Chris Rock at The Oscars | by William Spivey | Mar, 2022 | Medium - via @pensignal  https://t.co/sgEb2orpsm #Oscars #WillSmith",939921812,1516490956320784397,2022-04-19T18:56:33.000Z,0,0,0,0
Jada Pinkett Smith is back at the red table in the wake of the Oscars altercation between Will Smith and Chris Rock. https://t.co/wKf4hPSOtt,15676578,1516472317089525760,2022-04-19T17:42:29.000Z,1,1,0,0
RT @HarringtonBoyce: Thank you fortune for the shoutout 🚀👏Slapping our way to a new ATH 🚀https://t.co/baoAUbnoxi#SLAP #OSCARS… https://t.co…,1475625085813854215,1516471744663625738,2022-04-19T17:40:13.000Z,1,0,0,0
"RT @LogoArchitect: VIVIDESIGN Group -  Chris Rock Sold More Tour Tickets This Week Than Before Oscars Slap, Reseller Says https://t.co/ePPm…",1113942176331968513,1516470341064744960,2022-04-19T17:34:38.000Z,1,0,0,0
"RT @NaviNous: Will Smith Apologizes for Slapping Oscars Presenter Chris Rock:
""I am embarrassed and my actions were not indicative of the m…",1505784484465061888,1516457579303514117,2022-04-19T16:43:55.000Z,1,0,0,0
Chris Rock Breaks His Silence Since The Oscars https://t.co/jleFIv4nD5,1254591098837762048,1516448659763773445,2022-04-19T16:08:29.000Z,0,0,0,0
Will Smith Slaps Chris Rock Into Next Week Onstage At Oscars After Bad Jada Joke https://t.co/GsUndBTMJ2,1254591098837762048,1516447352902631432,2022-04-19T16:03:17.000Z,0,0,0,0
Patrick Mahomes’ Wife Brittany Matthews Has Four Words Of Advice to Will SmithFor Slapping Chris Rock at Oscars 2022 https://t.co/65EiamVxAj via @es_sportsnews,841107668307701763,1516438179703713792,2022-04-19T15:26:50.000Z,0,1,0,0
Billy Crystal Is Still Pretty Steamed About Will Smith Slapping Chris Rock At The Oscars https://t.co/wXkBw0HWyK,1367710872940974080,1516435910287671305,2022-04-19T15:17:49.000Z,0,0,0,0
"RT @MojahedFudailat: Will Smith Slaps Chris Rock at Oscars 2022 Animated
#Oscars #Animation #3DArt https://t.co/DxFwRhBvxP",1693722961,1516427247514787851,2022-04-19T14:43:24.000Z,440,0,0,0
"@aidemarron1 Several sources reported that the audience grew after the slap 👉 https://t.co/DCbtX4FAc2
I don't know if this was planned, but it definitely tells us a lot about audience behavior.",1480272768792944651,1516409259516379138,2022-04-19T13:31:55.000Z,0,0,1,0
"RT @CRInstitute: 2022 Oscars telecast on 3/27, Will Smith slapped Chris Rock. News cycles dominated by this pop culture story. Denzel Washi…",19608452,1516404059149897731,2022-04-19T13:11:15.000Z,1,0,0,0
"#NewArticle 'Will Smith backlash after slapping Chris Rock live at the Oscar’s'. Check out the full article HERE:
https://t.co/YyBfh6Z2Mt
#WillSmith #ChrisRock #Oscars #Entertainment #Comedy #JadaPinkettSmith #Fyp #Live #NetworthPick https://t.co/oYcIBupg6S",1358824219400933376,1516401466067632128,2022-04-19T13:00:57.000Z,0,0,0,0
"2022 Oscars telecast on 3/27, Will Smith slapped Chris Rock. News cycles dominated by this pop culture story. Denzel Washington's comments about the slap at Pastor T.J. Jakes International Leadership Summit in CLT. Who is Jakes? Beliefs? See https://t.co/NrdIbrzgec #apologetics https://t.co/xWr8cnWA0r",20602519,1516401411969409024,2022-04-19T13:00:44.000Z,1,0,2,0
"After slapping Chris Rock at the Oscars: Will Smith resigns from the Oscar academy
https://t.co/FxIamBzamR

#willsmithslap #jadapinketsmith https://t.co/c0c6MkMWbf",1509379073658830848,1516386289586778123,2022-04-19T12:00:39.000Z,0,0,0,0
Will Smith SLAPS Chris Rock at Oscars 2022 - South Park Animated https://t.co/8wOj0cJu4s via @YouTube,1454370622415454210,1516384086188773385,2022-04-19T11:51:53.000Z,0,0,0,0
"RT @935KDAY: #KrushGroove artist DJ Quik speaks on releasing new music as NFT’s &amp; shares opinion on Will Smith Oscars situation 🔥💯👑
•
@djqu…",1505082259241529355,1516370306947985408,2022-04-19T10:57:08.000Z,1,0,0,0
"Will Smith Resigns From Academy Over Chris Rock Oscars Slap – Variety

I’d slap the shit out of you. https://t.co/ed0h2AYaDT",3042290454,1516356874253135874,2022-04-19T10:03:46.000Z,0,0,0,0
Patrick Mahomes’ Wife Brittany Matthews Has Four Words Of Advice to Will Smith For Slapping Chris Rock at Oscars 2022 https://t.co/8YbDY68RHV,1313825356793745408,1516355950197755905,2022-04-19T10:00:05.000Z,0,0,0,0
"RT @June_space_: Every 2022 recap is gonna include two things:
- That wacky time Will Smith slapped Chris Rock at the Oscars
- The Anomaly…",1350866799668113409,1516352014887833603,2022-04-19T09:44:27.000Z,3,0,0,0
"Have we moved on or we can still have a look at this?
https://t.co/tQj5nIAgMH",1073525935213871104,1516332426250919936,2022-04-19T08:26:37.000Z,0,0,1,0
RT @Variety: Here's Will Smith's tearful acceptance speech at the #Oscars. https://t.co/ulvT7fsB57 https://t.co/Uq2krBbBld,1317912179924963331,1516331087798095873,2022-04-19T08:21:18.000Z,9109,0,0,0
Body Language Analyst REACTS to WILL SMITH/CHRIS ROCK SLAP at 2022 Oscars. WAS IT STAGED? - YouTube https://t.co/CX1oQS4ySJ,223060015,1516326821578489857,2022-04-19T08:04:20.000Z,0,0,0,0
Will Smith SLAPS Chris Rock at Oscars 2022 - South Park Animated https://t.co/h1Y1mZYSf4 via @YouTube,1504179926596931584,1516323174840905731,2022-04-19T07:49:51.000Z,0,0,3,0
Will Smith has now apologised for his actions at the Oscars. https://t.co/0CoTx7So9w,1061315510963294208,1516311652043350019,2022-04-19T07:04:04.000Z,0,0,1,0
Will Smith SLAPS Chris Rock at Oscars 2022 - South Park Animated https://t.co/8wQusJHRxC via @YouTube,40411062,1516306771869982723,2022-04-19T06:44:40.000Z,0,0,0,0
Amy Schumer praises Chris Rock for keeping his composure after getting slapped by Will Smith at Oscars 2022. Watch the comedienne discuss the aftermath! https://t.co/3iDJnXNOsO,2542967450,1516289489207013380,2022-04-19T05:36:00.000Z,0,1,3,0
Patrick Mahomes’ Wife Brittany Matthews Has Four Words Of Advice to Will Smith For Slapping Chris Rock at Oscars 2022 https://t.co/UcSPr4r5aw,1489216174147743753,1516284128903188487,2022-04-19T05:14:42.000Z,0,0,0,0
Amy Schumer praises Chris Rock for keeping his composure after getting slapped by Will Smith at Oscars 2022. Watch the comedienne discuss the aftermath! https://t.co/YEC9fpuqWZ,3180209864,1516273537719631874,2022-04-19T04:32:37.000Z,0,0,0,0
Chris Rock no hablará de la cachetada de los Oscars hasta que le paguen https://t.co/Zkv7qfnPCB     *,169989918,1516272922989629441,2022-04-19T04:30:10.000Z,0,0,0,0
"RT @rummanahussain: For my latest column, I touched on the South Asian/Asian American experience tied to the other Chris Rock joke that dre…",3127521240,1516255308804497411,2022-04-19T03:20:10.000Z,5,0,0,0
"While everyone is talking about #WillSmith slapping Chris Rock at the 94th Academy Awards, we thought we’d turn ur attention to another Will … Will Packer!

Continue reading at https://t.co/b3JNj9XgDV | 10z viral",458159100,1516246531103498243,2022-04-19T02:45:18.000Z,0,0,0,0
"#ChrisRock has finally broken his silence after being slapped by #WillSmith at the #Oscars. On Wednesday the comedian took the stage at The Wilbur in #Boston for a four day stint and was greeted to a standing ovation

Continue reading at https://t.co/JiqbCD2rmf | 10z viral",458159100,1516244359645179906,2022-04-19T02:36:40.000Z,0,0,0,0
Patrick Mahomes’ Wife Brittany Matthews Has Four Words Of Advice to Will Smith For Slapping Chris Rock at Oscars 2022 https://t.co/EoSKOZ6a0e,1441390499235962895,1516241946796335108,2022-04-19T02:27:05.000Z,0,1,0,0
"RT @rummanahussain: For my latest column, I touched on the South Asian/Asian American experience tied to the other Chris Rock joke that dre…",459498431,1516241131754905608,2022-04-19T02:23:50.000Z,5,0,0,0
Patrick Mahomes’ Wife Brittany Matthews Has Four Words Of Advice to Will Smith For Slapping Chris Rock at Oscars 2022 https://t.co/B0B7I4Y7dk,1486983671416504321,1516239708556247045,2022-04-19T02:18:11.000Z,0,0,0,0
"RT @rummanahussain: For my latest column, I touched on the South Asian/Asian American experience tied to the other Chris Rock joke that dre…",2533489826,1516238519160692737,2022-04-19T02:13:27.000Z,5,0,0,0
"RT @rummanahussain: For my latest column, I touched on the South Asian/Asian American experience tied to the other Chris Rock joke that dre…",22108722,1516238429121622026,2022-04-19T02:13:06.000Z,5,0,0,0
"(4/4): Also be sure to check out my second story, where I covered the Will Smith and Chris Rock fallout and its implications on the historic wins made by actors and actresses like DeBose at this year’s Oscars show. Link down below ⬇️

https://t.co/AhRUjdPYhv",1171857515606417415,1516230380185083906,2022-04-19T01:41:07.000Z,0,0,0,0
"About Will Smith and Chris Rock at The Oscars | by William Spivey | Mar, 2022 | Medium - via @pensignal  https://t.co/5FaVVLp6sZ #Oscars #WillSmith",939921812,1516229925128515588,2022-04-19T01:39:18.000Z,0,1,0,0
வில் ஸ்மித் நிஜமாகவே குத்தினாரா…ஆஸ்கர் மேடையில் நடந்த பரபரப்பு சம்பவம் | Will Smith punches Chris Rock at Oscars 2022…Scripted or real? https://t.co/UCiDvQuJWp,1420691239817515008,1516224247521284096,2022-04-19T01:16:45.000Z,0,0,0,0
WILL SMITH SMACKS CHRIS ROCK at #2022 OSCARS https://t.co/BjGNeVqGBc via @YouTube,1487605658073579523,1516216792938598400,2022-04-19T00:47:08.000Z,0,0,0,0
"RT @June_space_: Every 2022 recap is gonna include two things:
- That wacky time Will Smith slapped Chris Rock at the Oscars
- The Anomaly…",1496972591952715785,1516206857001607173,2022-04-19T00:07:39.000Z,3,0,0,0
"US Is failing globally, financially, domestically &amp; will get WORSE. We fired Trump 4 failing. @POTUS Is Worse. If DJT was POTUS We'd tear him apart. We did! Joe must go. If not Trump or DeSantis will Destroy Joe. It will happen. Please be real 🙈🙉🙊
https://t.co/o1SXT0xhgF",1459213291310489610,1516206638486667274,2022-04-19T00:06:47.000Z,0,0,0,0
"Bro I'm really a father right before father day and Will Smith slapped Chris Rock.  Got to love 2022 👍👍👍

#WillSmith #Oscars #fatherhood #news #daughterlove",469893483,1516200299777695746,2022-04-18T23:41:35.000Z,0,0,0,0
Robin Roberts Respects Chris Rock Not Speaking Out After Oscars Slap | WATCH - https://t.co/KewLSVtwQM https://t.co/u6K5HAJ89G,15142081,1516188618787856388,2022-04-18T22:55:10.000Z,0,0,2,0
"Menuda torta le acaba de meter Will Smith a Chris Rock.👋
#Oscars 2022 🏆",927213861735993345,1516187224597049352,2022-04-18T22:49:38.000Z,0,0,1,0
RT @goodenufmother: Developing. #Oscars Launch Formal Review of Will Smith After Chris Rock Slap https://t.co/OCPLwuFzVF via @variety,2241663895,1516186233449426945,2022-04-18T22:45:42.000Z,3,0,0,0
RT @goodenufmother: BREAKING: #WillSmith Resigns From Academy Over #ChrisRock Oscars Slap - Variety https://t.co/Dxpme6V6Dh,2241663895,1516186232786755591,2022-04-18T22:45:41.000Z,5,0,0,0
"7 Bramwell “Maybe if we were used to seeing BM defend the honor of their women it wouldn't be such a surprise” Bloombaby99 “I lost all respect for @chrisrock the last time he hosted @TheAcademy Spent the majority of his monologue throwing Black people
https://t.co/jgl4kdaMa5!",1332594099682226176,1516184941511516166,2022-04-18T22:40:34.000Z,0,1,0,0
She knows every damn thing uggggggg https://t.co/xUE1bi8aNj,114093263,1516184021935472647,2022-04-18T22:36:54.000Z,0,0,0,0
"#KrushGroove artist DJ Quik speaks on releasing new music as NFT’s &amp; shares opinion on Will Smith Oscars situation 🔥💯👑
•
@djquik @iamcecevalencia @romeoonyoradio #KDAYMorningShow
•
[WATCH] https://t.co/4oINmIbDwj https://t.co/WcYivWML49",17659227,1516177894401142787,2022-04-18T22:12:33.000Z,1,0,3,0
Patrick Mahomes’ Wife Brittany Matthews Has Four Words Of Advice to Will Smith For Slapping Chris Rock at Oscars 2022 https://t.co/IRhfvggt4V,1419666560109719555,1516152627112947719,2022-04-18T20:32:09.000Z,0,0,0,0
RT @murflicks: Here is how Will Smith walked to Chris Rock on the stage and slapped him at the Oscars 2022. How cool is this guys? https://…,1534539278,1516147802379894786,2022-04-18T20:12:59.000Z,6,0,0,0
RT @Realitytea: In Case You Missed It: Bethenny Frankel Says Will Smith Should Have Been Immediately Kicked Out After He Slapped Chris Rock…,522708081,1516145091219537931,2022-04-18T20:02:13.000Z,1,0,0,0
"RT @June_space_: Every 2022 recap is gonna include two things:
- That wacky time Will Smith slapped Chris Rock at the Oscars
- The Anomaly…",829883294334361600,1516143609376038926,2022-04-18T19:56:19.000Z,3,0,0,0
"RT @rummanahussain: For my latest column, I touched on the South Asian/Asian American experience tied to the other Chris Rock joke that dre…",2883098319,1516141524316209158,2022-04-18T19:48:02.000Z,5,0,0,0
RT @SamuelLJackson: Revelations Of Will Smith Call With Oscar Bosses Outrages Board &amp; More #SmartNews  https://t.co/0CEj5wGcyw,1473022539827929089,1516137674926665731,2022-04-18T19:32:44.000Z,87,0,0,0
RT @thisakoto: https://t.co/Rd1KYcqzLy,1077835963324399616,1516136286448406537,2022-04-18T19:27:13.000Z,1,0,0,0
RT @GuardianAus: Don’t mention that slap! Why no one was talking about Will Smith and Chris Rock at the Oscars afterparty https://t.co/bUCh…,754281382550077440,1516122270338621441,2022-04-18T18:31:32.000Z,3,0,0,0
RT @PeterDredd: Will Smith ‘Flooded With Movie Offers’ In Spite Of 10-Year Oscars Ban After Chris Rock Slap - https://t.co/Rqv4hjTan0 https…,847811049063690240,1516119966478655494,2022-04-18T18:22:22.000Z,1,0,0,0
"Every 2022 recap is gonna include two things:
- That wacky time Will Smith slapped Chris Rock at the Oscars
- The Anomaly at 52.4807275,-2.1113894444444443 on October 2nd at 21:45 UTC",984386396101079042,1516107874845356033,2022-04-18T17:34:19.000Z,3,8,100,0
Will Smith ‘Flooded With Movie Offers’ In Spite Of 10-Year Oscars Ban After Chris Rock Slap - https://t.co/Rqv4hjTan0 https://t.co/Co0b2ewjxw,805978505477582848,1516092235904811008,2022-04-18T16:32:11.000Z,1,0,1,0
Will Smith SLAPS Chris Rock at Oscars 2022 - South Park Animated https://t.co/zTsqxIWvEq via @YouTube,1486138665315160064,1516080680928645124,2022-04-18T15:46:16.000Z,0,0,0,0
"""Will Smith Resigns from Academy After Chris Rock Slap Incident                Will Smith resigns from the Academy of Motion Picture Arts and Sciences in response to the backlash after he slapped Chris Rock at the 2022 Oscars.""
https://t.co/pdXwRMRpRi",1342930284,1516070081469497355,2022-04-18T15:04:09.000Z,0,0,0,0
"For my latest column, I touched on the South Asian/Asian American experience tied to the other Chris Rock joke that drew controversy at the Oscars. 
https://t.co/mZdRd98fdV",234638690,1516070005556887561,2022-04-18T15:03:51.000Z,5,0,14,0
Will Smith Slaps Chris Rock Into Next Week Onstage At Oscars After Bad Jada Joke https://t.co/GsUndBTMJ2,1254591098837762048,1516064962837463044,2022-04-18T14:43:48.000Z,0,0,0,0
RT @jjauthor: What I Saw at the Oscars After Will Smith Slapped Chris Rock https://t.co/pBrXNK0ZHE,1322741769918963713,1516052097199968257,2022-04-18T13:52:41.000Z,2,0,0,0
RT @jjauthor: What I Saw at the Oscars After Will Smith Slapped Chris Rock https://t.co/pBrXNK0ZHE,1314962938906771461,1516051965968584710,2022-04-18T13:52:10.000Z,2,0,0,0
What I Saw at the Oscars After Will Smith Slapped Chris Rock https://t.co/pBrXNK0ZHE,177584156,1516051546697478146,2022-04-18T13:50:30.000Z,2,0,3,0
"In his final Instagram post, the Celebrity Apprentice alum shared a joke about his friend Chris Rock being slapped by Will Smith at the 2022 Oscars, alongside a selfie with the comedian. https://t.co/XqT2IWt5tA via @usweekly",1187851592147406848,1516044171106263042,2022-04-18T13:21:11.000Z,0,0,0,0
"RT @city_news: There was a little more to the Oscars than Will Smith slapping Chris Rock reports ""Streaming"" columnist NICK OVERALL. https:…",4532748434,1516029886699167753,2022-04-18T12:24:26.000Z,1,0,0,0
RT @SamuelLJackson: Revelations Of Will Smith Call With Oscar Bosses Outrages Board &amp; More #SmartNews  https://t.co/0CEj5wGcyw,2999612262,1516026612659064833,2022-04-18T12:11:25.000Z,87,0,0,0
"After slapping Chris Rock at the Oscars: Will Smith resigns from the Oscar academy
https://t.co/VYgF6MyrRw

#willsmithslap #jadapinketsmith https://t.co/m10kt6mCok",1509379073658830848,1516023662729646087,2022-04-18T11:59:42.000Z,0,0,0,0
UFC Champion Israel Adesanya Shares a Message From Chris Rock After Will Smith’s Oscars Slap https://t.co/ppioup7XyT,996171062,1516017634768297986,2022-04-18T11:35:45.000Z,0,0,0,0
Will Smith SLAPS Chris Rock at Oscars 2022 - South Park Animated https://t.co/OYOPi82gmv via @YouTube,1423600865307418633,1516016869861478409,2022-04-18T11:32:42.000Z,0,0,0,0
RT @usweekly: Will Smith slapping Chris Rock at the 2022 #OSCARS ignited a conversation — including from the Philadelphia native’s The Fres…,1839081097,1515991619253649411,2022-04-18T09:52:22.000Z,1,0,0,0
Will Smith slapping Chris Rock at the 2022 #OSCARS ignited a conversation — including from the Philadelphia native’s The Fresh Prince of Bel-Air costars. https://t.co/ggPfvBjSV5,20012204,1515979700514045953,2022-04-18T09:05:00.000Z,1,0,0,0
